"id","appID","timestamp","action","user_id","lite"
"1","5","2017-10-17 14:41:03.546+00","none()","3","f"
"2","6","2017-10-17 14:41:24.095+00","none()","3","f"
"3","14","2017-10-17 17:33:51.785+00","breakApproaching(45)","27","f"
"4","15","2017-10-17 20:33:10.257+00","pause(""2017-10-17T20:33:10.233Z/2017-10-17T20:38:10.233Z"", 5)","27","f"
"5","16","2017-10-17 20:33:10.265+00","pause(""2017-10-17T20:33:10.249Z/2017-10-17T20:38:10.249Z"", 5)","27","f"
"6","17","2017-10-17 20:38:10.237+00","unpause(""2017-10-17T20:33:10.233Z/2017-10-17T20:38:10.233Z"", 5)","27","f"
"7","18","2017-10-17 20:38:10.252+00","unpause(""2017-10-17T20:33:10.249Z/2017-10-17T20:38:10.249Z"", 5)","27","f"
"8","19","2017-10-17 20:53:08.624+00","none()","27","f"
"9","20","2017-10-17 20:53:49.564+00","none()","27","f"
"10","21","2017-10-18 08:50:11.107+00","none()","27","f"
"11","22","2017-10-18 08:51:14.17+00","pause(""2017-10-18T08:51:14.162Z/2017-10-18T08:56:14.162Z"", 5)","27","f"
"12","23","2017-10-18 08:51:14.211+00","pause(""2017-10-18T08:51:14.203Z/2017-10-18T08:56:14.203Z"", 5)","27","f"
"13","24","2017-10-18 08:51:14.259+00","pause(""2017-10-18T08:51:14.251Z/2017-10-18T08:56:14.251Z"", 5)","27","f"
"14","25","2017-10-18 08:51:14.309+00","pause(""2017-10-18T08:51:14.302Z/2017-10-18T08:56:14.302Z"", 5)","27","f"
"15","26","2017-10-18 08:56:14.195+00","unpause(""2017-10-18T08:51:14.162Z/2017-10-18T08:56:14.162Z"", 5)","27","f"
"16","27","2017-10-18 08:56:14.203+00","unpause(""2017-10-18T08:51:14.203Z/2017-10-18T08:56:14.203Z"", 5)","27","f"
"17","28","2017-10-18 08:56:14.252+00","unpause(""2017-10-18T08:51:14.251Z/2017-10-18T08:56:14.251Z"", 5)","27","f"
"18","29","2017-10-18 08:56:14.34+00","unpause(""2017-10-18T08:51:14.302Z/2017-10-18T08:56:14.302Z"", 5)","27","f"
"19","30","2017-10-18 09:36:16.099+00","breakApproaching(45)","27","f"
"20","24","2017-10-18 09:51:31.119+00","none()","26","f"
"21","31","2017-10-18 10:06:29.554+00","breakOverdue(75)","27","f"
"22","25","2017-10-18 11:02:57.47+00","none()","26","f"
"23","1","2017-10-18 10:48:35.566+00","none()","28","f"
"24","2","2017-10-18 13:14:28.202+00","none()","28","f"
"25","3","2017-10-18 14:37:22.313+00","breakApproaching(45)","28","f"
