id,appID,timestamp,key,value,user_id,lite
1,18,2017-10-17 14:03:28.096+00,first_alert_pattern,on,3,f
2,19,2017-10-17 14:04:40.334+00,first_alert_time,32,3,f
3,1,2017-10-18 11:00:20.581+00,225bc5fd_ace6_4559_bbfc_74328ec74fd6,FC:66:78:5A:8F:38,28,f
4,2,2017-10-18 11:00:28.633+00,e4f71d42_50b8_4da0_a5ae_a0792967862e,21,28,f
5,3,2017-10-18 11:01:16.665+00,1f0f7026_d1ea_4bed_bb0a_d63929ee0bd7,FA:B4:25:55:7A:E0,28,f
6,4,2017-10-18 11:05:17.175+00,a3fb256f_537f_4866_98a6_08b74243c3d5,26,28,f
7,5,2017-10-18 11:05:17.181+00,538e7732_8683_4252_a01a_de5f569ef1d3,step,28,f
8,6,2017-10-18 11:05:17.183+00,0fa3073f_8f7e_4c75_b917_d6c460e3616a,0.5,28,f
9,7,2017-10-18 11:05:17.186+00,a2a6d8d1_8855_440a_a674_999dddd86d91,15,28,f
10,8,2017-10-18 11:05:17.191+00,3d4cfd67_fe21_4806_9fa2_191d2a684f70,DTW_700_MS,28,f
11,9,2017-10-18 11:05:17.194+00,419b3734_2726_44cc_93e4_b8675ad59dd5,23,28,f
12,10,2017-10-18 11:05:17.198+00,a9369024_729c_4fea_974e_e94ddba2be9a,4,28,f
13,11,2017-10-18 11:05:17.2+00,905a0988_d36e_4be4_b0ca_2e28855f3acc,NORMAL,28,f
14,12,2017-10-18 11:05:17.203+00,f36e4e95_0889_4ef1_a406_b3b62e019d61,1,28,f
15,13,2017-10-18 11:05:17.209+00,d165b310_d3ff_4388_bc9b_1165482b3aea,PT_1_S,28,f
16,14,2017-10-18 11:05:17.212+00,364cf54c_4b20_4e6e_949e_519f310be942,6,28,f
17,15,2017-10-18 11:05:17.222+00,ae897343_bdc5_4a2d_b1ee_5bec1e2ba28e,60,28,f
18,16,2017-10-18 11:05:17.225+00,276f9ec4_a7c0_4012_8385_b323388d6045,5,28,f
19,17,2017-10-18 11:05:17.228+00,e5a6b00e_c417_4aae_88fa_439f964f1cb7,ODR_25_HZ,28,f
20,18,2017-10-18 11:05:17.23+00,fbd141f0_fe66_4676_baf3_f1dd3077871e,0,28,f
21,19,2017-10-18 11:05:17.233+00,8ef28a85_2b43_4832_a0ea_e5456e250e49,TST_75_MS,28,f
22,20,2017-10-18 11:05:17.241+00,21cacb0b_f125_4eb9_aa29_5d678e39d3e7,AR_4G,28,f
23,21,2017-10-18 11:05:17.244+00,ab1076d7_26e5_427d_b584_eb54285f9be1,TQT_20_MS,28,f
24,22,2017-10-18 11:05:17.247+00,f31af45c_0448_42cb_bf1b_07de22dfc5e3,ST_1_5_S,28,f
25,23,2017-10-18 11:05:28.115+00,a3fb256f_537f_4866_98a6_08b74243c3d5,36,28,f
26,1,2017-10-20 13:28:14.005+00,225bc5fd_ace6_4559_bbfc_74328ec74fd6,FE:D3:97:FE:D3:F4,3,f
27,2,2017-10-20 13:28:19.574+00,e4f71d42_50b8_4da0_a5ae_a0792967862e,21,3,f
28,3,2017-10-20 13:28:36.9+00,1f0f7026_d1ea_4bed_bb0a_d63929ee0bd7,D1:E0:62:A2:56:87,3,f
29,4,2017-10-20 16:05:13.945+00,a3fb256f_537f_4866_98a6_08b74243c3d5,26,3,f
30,5,2017-10-20 16:05:13.96+00,538e7732_8683_4252_a01a_de5f569ef1d3,step,3,f
31,6,2017-10-20 16:05:13.971+00,0fa3073f_8f7e_4c75_b917_d6c460e3616a,0.5,3,f
32,7,2017-10-20 16:05:13.974+00,a2a6d8d1_8855_440a_a674_999dddd86d91,15,3,f
33,8,2017-10-20 16:05:13.978+00,3d4cfd67_fe21_4806_9fa2_191d2a684f70,DTW_700_MS,3,f
34,9,2017-10-20 16:05:13.981+00,419b3734_2726_44cc_93e4_b8675ad59dd5,23,3,f
35,10,2017-10-20 16:05:13.991+00,a9369024_729c_4fea_974e_e94ddba2be9a,4,3,f
36,11,2017-10-20 16:05:13.995+00,905a0988_d36e_4be4_b0ca_2e28855f3acc,NORMAL,3,f
37,12,2017-10-20 16:05:14.01+00,f36e4e95_0889_4ef1_a406_b3b62e019d61,1,3,f
38,13,2017-10-20 16:05:14.023+00,d165b310_d3ff_4388_bc9b_1165482b3aea,PT_1_S,3,f
39,14,2017-10-20 16:05:14.026+00,364cf54c_4b20_4e6e_949e_519f310be942,6,3,f
40,15,2017-10-20 16:05:14.031+00,ae897343_bdc5_4a2d_b1ee_5bec1e2ba28e,60,3,f
41,16,2017-10-20 16:05:14.035+00,276f9ec4_a7c0_4012_8385_b323388d6045,5,3,f
42,17,2017-10-20 16:05:14.039+00,e5a6b00e_c417_4aae_88fa_439f964f1cb7,ODR_25_HZ,3,f
43,18,2017-10-20 16:05:14.047+00,fbd141f0_fe66_4676_baf3_f1dd3077871e,0,3,f
44,19,2017-10-20 16:05:14.051+00,8ef28a85_2b43_4832_a0ea_e5456e250e49,TST_75_MS,3,f
45,20,2017-10-20 16:05:14.054+00,21cacb0b_f125_4eb9_aa29_5d678e39d3e7,AR_4G,3,f
46,21,2017-10-20 16:05:14.058+00,ab1076d7_26e5_427d_b584_eb54285f9be1,TQT_20_MS,3,f
47,22,2017-10-20 16:05:14.062+00,f31af45c_0448_42cb_bf1b_07de22dfc5e3,ST_1_5_S,3,f
48,23,2017-10-20 16:05:18.291+00,538e7732_8683_4252_a01a_de5f569ef1d3,motion,3,f
49,24,2017-10-20 16:05:20.712+00,538e7732_8683_4252_a01a_de5f569ef1d3,step,3,f
50,9,2017-10-23 08:22:27.728+00,e4f71d42_50b8_4da0_a5ae_a0792967862e,21,27,f
51,1,2017-10-23 09:49:37.695+00,first_alert_pattern,breathe,29,f
52,2,2017-10-23 09:49:37.7+00,third_alert_time,75,29,f
53,3,2017-10-23 09:49:37.702+00,280d80d7_2313_4f1c_b7f2_42226dbadb62,TRUE,29,f
54,4,2017-10-23 09:49:37.705+00,second_alert_time,60,29,f
55,5,2017-10-23 09:49:37.707+00,third_alert_colour,-65536,29,f
56,6,2017-10-23 09:49:37.71+00,5fdf6a77_a614_4a9a_990f_8cc66912b89a,5,29,f
57,7,2017-10-23 09:49:37.714+00,first_alert_colour,-23040,29,f
58,8,2017-10-23 09:49:37.717+00,second_alert_colour,-65536,29,f
59,9,2017-10-23 09:49:37.72+00,third_alert_pattern,on,29,f
60,10,2017-10-23 09:49:37.727+00,second_alert_pattern,breathe,29,f
61,11,2017-10-23 09:49:37.73+00,first_alert_time,45,29,f
62,12,2017-10-23 09:50:05.305+00,225bc5fd_ace6_4559_bbfc_74328ec74fd6,EF:E0:C9:D5:67:E1,29,f
63,13,2017-10-23 09:50:14.578+00,e4f71d42_50b8_4da0_a5ae_a0792967862e,21,29,f
64,14,2017-10-23 09:50:30.83+00,1f0f7026_d1ea_4bed_bb0a_d63929ee0bd7,F7:80:80:9E:BF:7F,29,f
65,15,2017-10-23 10:18:52.222+00,a3fb256f_537f_4866_98a6_08b74243c3d5,26,29,f
66,16,2017-10-23 10:18:52.227+00,538e7732_8683_4252_a01a_de5f569ef1d3,step,29,f
67,17,2017-10-23 10:18:52.235+00,0fa3073f_8f7e_4c75_b917_d6c460e3616a,0.5,29,f
68,18,2017-10-23 10:18:52.238+00,a2a6d8d1_8855_440a_a674_999dddd86d91,15,29,f
69,19,2017-10-23 10:18:52.241+00,3d4cfd67_fe21_4806_9fa2_191d2a684f70,DTW_700_MS,29,f
70,20,2017-10-23 10:18:52.244+00,419b3734_2726_44cc_93e4_b8675ad59dd5,23,29,f
71,21,2017-10-23 10:18:52.247+00,a9369024_729c_4fea_974e_e94ddba2be9a,4,29,f
72,22,2017-10-23 10:18:52.257+00,905a0988_d36e_4be4_b0ca_2e28855f3acc,NORMAL,29,f
73,23,2017-10-23 10:18:52.267+00,f36e4e95_0889_4ef1_a406_b3b62e019d61,1,29,f
74,24,2017-10-23 10:18:52.27+00,d165b310_d3ff_4388_bc9b_1165482b3aea,PT_1_S,29,f
75,25,2017-10-23 10:18:52.273+00,364cf54c_4b20_4e6e_949e_519f310be942,6,29,f
76,26,2017-10-23 10:18:52.276+00,ae897343_bdc5_4a2d_b1ee_5bec1e2ba28e,60,29,f
77,27,2017-10-23 10:18:52.279+00,276f9ec4_a7c0_4012_8385_b323388d6045,5,29,f
78,28,2017-10-23 10:18:52.282+00,e5a6b00e_c417_4aae_88fa_439f964f1cb7,ODR_25_HZ,29,f
79,29,2017-10-23 10:18:52.304+00,fbd141f0_fe66_4676_baf3_f1dd3077871e,0,29,f
80,30,2017-10-23 10:18:52.315+00,8ef28a85_2b43_4832_a0ea_e5456e250e49,TST_75_MS,29,f
81,31,2017-10-23 10:18:52.317+00,21cacb0b_f125_4eb9_aa29_5d678e39d3e7,AR_4G,29,f
82,32,2017-10-23 10:18:52.32+00,ab1076d7_26e5_427d_b584_eb54285f9be1,TQT_20_MS,29,f
83,33,2017-10-23 10:18:52.324+00,f31af45c_0448_42cb_bf1b_07de22dfc5e3,ST_1_5_S,29,f
84,34,2017-10-23 10:19:00.433+00,a3fb256f_537f_4866_98a6_08b74243c3d5,36,29,f
85,35,2017-10-23 10:19:03.293+00,a9369024_729c_4fea_974e_e94ddba2be9a,3,29,f
86,1,2017-10-23 13:24:26.034+00,first_alert_pattern,breathe,3,f
87,2,2017-10-23 13:24:26.052+00,third_alert_time,75,3,f
88,3,2017-10-23 13:24:26.06+00,280d80d7_2313_4f1c_b7f2_42226dbadb62,TRUE,3,f
89,4,2017-10-23 13:24:26.07+00,second_alert_time,60,3,f
90,5,2017-10-23 13:24:26.079+00,third_alert_colour,-65536,3,f
91,6,2017-10-23 13:24:26.087+00,5fdf6a77_a614_4a9a_990f_8cc66912b89a,5,3,f
92,7,2017-10-23 13:24:26.1+00,first_alert_colour,-23040,3,f
93,8,2017-10-23 13:24:26.112+00,second_alert_colour,-65536,3,f
94,9,2017-10-23 13:24:26.185+00,third_alert_pattern,on,3,f
95,10,2017-10-23 13:24:26.193+00,second_alert_pattern,breathe,3,f
96,11,2017-10-23 13:24:26.2+00,first_alert_time,45,3,f
97,12,2017-10-23 13:26:15.461+00,225bc5fd_ace6_4559_bbfc_74328ec74fd6,FE:D3:97:FE:D3:F4,3,f
98,13,2017-10-23 13:26:18.354+00,1f0f7026_d1ea_4bed_bb0a_d63929ee0bd7,D1:E0:62:A2:56:87,3,f
99,14,2017-10-23 13:26:20.138+00,e4f71d42_50b8_4da0_a5ae_a0792967862e,22,3,f
100,24,2017-10-23 14:39:00.216+00,first_alert_pattern,breathe,28,f
101,25,2017-10-23 14:39:00.222+00,third_alert_time,75,28,f
102,26,2017-10-23 14:39:00.227+00,280d80d7_2313_4f1c_b7f2_42226dbadb62,TRUE,28,f
103,27,2017-10-23 14:39:00.242+00,second_alert_time,60,28,f
104,28,2017-10-23 14:39:00.251+00,third_alert_colour,-65536,28,f
105,29,2017-10-23 14:39:00.255+00,5fdf6a77_a614_4a9a_990f_8cc66912b89a,5,28,f
106,30,2017-10-23 14:39:00.257+00,first_alert_colour,-23040,28,f
107,31,2017-10-23 14:39:00.262+00,second_alert_colour,-65536,28,f
108,32,2017-10-23 14:39:00.267+00,third_alert_pattern,on,28,f
109,33,2017-10-23 14:39:00.272+00,second_alert_pattern,breathe,28,f
110,34,2017-10-23 14:39:00.283+00,first_alert_time,45,28,f
111,36,2017-10-23 15:29:06.825+00,a3fb256f_537f_4866_98a6_08b74243c3d5,100,29,f
112,37,2017-10-23 15:29:19.653+00,a9369024_729c_4fea_974e_e94ddba2be9a,1,29,f
113,38,2017-10-23 15:29:32.952+00,a3fb256f_537f_4866_98a6_08b74243c3d5,23,29,f
114,39,2017-10-23 15:29:40.09+00,a3fb256f_537f_4866_98a6_08b74243c3d5,30,29,f
115,40,2017-10-23 16:05:47.277+00,a3fb256f_537f_4866_98a6_08b74243c3d5,36,29,f
116,41,2017-10-23 16:05:51.248+00,a9369024_729c_4fea_974e_e94ddba2be9a,3,29,f
117,42,2017-10-23 16:10:55.645+00,second_alert_time,55,29,f
118,43,2017-10-23 16:11:00.09+00,third_alert_time,60,29,f
119,1,2017-10-24 08:53:08.449+00,225bc5fd_ace6_4559_bbfc_74328ec74fd6,D2:C3:64:44:AC:8F,27,f
120,2,2017-10-24 08:53:16.534+00,e4f71d42_50b8_4da0_a5ae_a0792967862e,22,27,f
121,3,2017-10-24 08:54:13.348+00,1f0f7026_d1ea_4bed_bb0a_d63929ee0bd7,C3:91:57:BD:D6:D8,27,f
