"id","appID","day","data","user_id","lite"
"1","1","2017-10-23","{""breaks"":1,""periods"":4245000}","29","f"
"2","1","2017-10-18","{""breaks"":2,""periods"":28155000}","28","f"
"3","2","2017-10-19","{""breaks"":-2,""periods"":-28155000}","28","f"
"4","1","2017-10-24","{""breaks"":2,""periods"":18570000}","27","t"
"5","1","2017-10-24","{""breaks"":1,""periods"":0}","25","f"
"6","2","2017-10-24","{""breaks"":-1,""periods"":-4245000}","29","f"
"7","1","2017-10-25","{""breaks"":1,""periods"":21345000}","29","t"
"8","2","2017-10-26","{""breaks"":-1,""periods"":-21345000}","29","t"
"9","1","2017-10-27","{""breaks"":0,""periods"":-208740000}","31","t"
"10","1","2017-10-27","{""breaks"":5,""periods"":-40665000}","30","t"
"11","1","2017-10-28","{""breaks"":2,""periods"":8115000}","29","f"
"12","2","2017-10-28","{""breaks"":0,""periods"":-47625000}","31","t"
"13","2","2017-10-29","{""type"":""firstuse""}","29","f"
"14","1","2017-10-30","{""breaks"":4,""periods"":0}","32","t"
"15","2","2017-10-30","{""breaks"":2,""periods"":0}","30","t"
"16","3","2017-10-30","{""breaks"":0,""periods"":-17670000}","29","f"
"17","3","2017-10-31","{""breaks"":10,""periods"":47280000}","30","t"
"18","1","2017-10-31","{""breaks"":2,""periods"":60570000}","34","t"
"19","2","2017-11-01","{""breaks"":0,""periods"":-71070000}","32","t"
"20","3","2017-11-01","{""breaks"":0,""periods"":-32115000}","31","t"
"21","2","2017-11-01","{""breaks"":3,""periods"":-30600000}","34","t"
"22","4","2017-11-01","{""breaks"":-11,""periods"":-35670000}","30","t"
"23","1","2017-11-01","{""breaks"":0,""periods"":-116925000}","33","t"
"24","2","2017-11-02","{""breaks"":4,""periods"":0}","33","t"
"25","1","2017-11-02","{""breaks"":4,""periods"":5145000}","35","t"
"26","4","2017-11-02","{""breaks"":0,""periods"":-28500000}","31","t"
"27","5","2017-11-02","{""breaks"":1,""periods"":1035000}","30","t"
"28","1","2017-11-03","{""breaks"":1,""periods"":8010000}","35","t"
"29","1","2017-11-03","{""breaks"":2,""periods"":0}","39","t"
"30","6","2017-11-03","{""breaks"":0,""periods"":-5310000}","30","t"
"31","7","2017-11-04","{""breaks"":-2,""periods"":-7335000}","30","t"
"32","1","2017-11-04","{""breaks"":0,""periods"":-28290000}","30","f"
"33","2","2017-11-04","{""breaks"":-1,""periods"":-8010000}","35","t"
"34","3","2017-11-06","{""breaks"":4,""periods"":0}","35","t"
"35","2","2017-11-06","{""breaks"":1,""periods"":21645000}","39","t"
"36","3","2017-11-06","{""breaks"":4,""periods"":0}","33","t"
"37","1","2017-11-06","{""breaks"":1,""periods"":3630000}","31","f"
"38","1","2017-11-06","{""breaks"":1,""periods"":0}","29","t"
"39","1","2017-11-07","{""breaks"":2,""periods"":0}","41","f"
"40","1","2017-11-07","{""breaks"":2,""periods"":-44385000}","32","t"
"41","2","2017-11-07","{""breaks"":0,""periods"":-3630000}","31","f"
"42","4","2017-11-08","{""breaks"":0,""periods"":-4425000}","35","t"
"43","3","2017-11-08","{""breaks"":0,""periods"":-24465000}","39","t"
"44","2","2017-11-07","{""breaks"":1,""periods"":19350000}","30","f"
"45","3","2017-11-08","{""breaks"":-1,""periods"":-19350000}","30","f"
"46","3","2017-11-09","{""type"":""firstuse""}","31","f"
"47","1","2017-11-09","{""breaks"":1,""periods"":0}","37","f"
"48","1","2017-11-09","{""breaks"":3,""periods"":0}","32","f"
"49","1","2017-11-09","{""breaks"":1,""periods"":0}","38","f"
"50","4","2017-11-10","{""type"":""firstuse""}","30","f"
"51","4","2017-11-10","{""breaks"":0,""periods"":-14535000}","31","f"
"52","2","2017-11-10","{""breaks"":2,""periods"":-255000}","41","f"
"53","4","2017-11-10","{""breaks"":1,""periods"":-3135000}","39","t"
"54","3","2017-11-11","{""breaks"":-2,""periods"":-3990000}","41","f"
"55","5","2017-11-11","{""breaks"":-2,""periods"":-6255000}","31","f"
"56","5","2017-11-11","{""breaks"":-1,""periods"":-3735000}","39","t"
"57","5","2017-11-11","{""breaks"":0,""periods"":-26535000}","30","f"
"58","2","2017-11-10","{""breaks"":2,""periods"":0}","32","f"
"59","1","2017-11-10","{""breaks"":2,""periods"":18075000}","35","f"
"60","2","2017-11-11","{""breaks"":-2,""periods"":-18075000}","35","f"
