"id","appID","day","data","rewarded","user_id","lite"
"1","1","2017-11-03","{""type"":""break"",""breakCountPref"":0,""breakCount"":0}","t","31","f"
"2","2","2017-11-04","{""type"":""break"",""breakCountPref"":0,""breakCount"":0}","t","31","f"
"3","3","2017-11-05","{""type"":""break"",""breakCountPref"":0,""breakCount"":0}","t","31","f"
"4","4","2017-11-06","{""type"":""break"",""breakCountPref"":0,""breakCount"":1}","t","31","f"
"5","5","2017-11-07","{""type"":""break"",""breakCountPref"":0,""breakCount"":1}","t","31","f"
"6","6","2017-11-08","{""type"":""break"",""breakCountPref"":0,""breakCount"":0}","t","31","f"
"7","7","2017-11-09","{""type"":""break"",""breakCountPref"":0,""breakCount"":2}","t","31","f"
"8","8","2017-11-10","{""type"":""break"",""breakCountPref"":0,""breakCount"":2}","t","31","f"
"9","9","2017-11-11","{""type"":""break"",""breakCountPref"":0,""breakCount"":0}","t","31","f"
"10","10","2017-11-12","{""type"":""break"",""breakCountPref"":0,""breakCount"":0}","t","31","f"
"11","11","2017-11-13","{""type"":""break"",""breakCountPref"":0,""breakCount"":0}","t","31","f"
"12","1","2017-11-10","{}","f","37","f"
"13","1","2017-11-14","{""type"":""break"",""breakCountPref"":2,""breakCount"":2}","t","3","f"
"14","1","2017-11-09","{""type"":""break"",""breakCountPref"":2,""breakCount"":3}","t","32","f"
"15","2","2017-11-10","{""type"":""break"",""breakCountPref"":2,""breakCount"":5}","t","32","f"
"16","1","2017-11-10","{""type"":""break"",""breakCountPref"":2,""breakCount"":2}","t","35","f"
"17","2","2017-11-13","{""type"":""break"",""breakCountPref"":2,""breakCount"":7}","t","35","f"
"18","3","2017-11-14","{""type"":""break"",""breakCountPref"":2,""breakCount"":2}","t","35","f"
"19","3","2017-11-15","{}","f","32","f"
"20","4","2017-11-15","{""type"":""break"",""breakCountPref"":2,""breakCount"":4}","t","35","f"
"21","1","2017-11-13","{}","f","38","f"
"22","2","2017-11-14","{}","f","38","f"
"23","1","2017-11-16","{}","f","31","f"
"24","3","2017-11-16","{""type"":""break"",""breakCountPref"":2,""breakCount"":2}","t","38","f"
"25","5","2017-11-16","{""type"":""break"",""breakCountPref"":2,""breakCount"":4}","t","35","f"
"26","1","2017-11-16","{""type"":""break"",""breakCountPref"":2,""breakCount"":2}","t","30","f"
"27","1","2017-11-17","{""type"":""break"",""breakCountPref"":2,""breakCount"":2}","t","39","f"
"28","2","2017-11-17","{}","f","30","f"
"29","6","2017-11-17","{""type"":""break"",""breakCountPref"":2,""breakCount"":2}","t","35","f"
"30","3","2017-11-20","{}","f","30","f"
"31","4","2017-11-20","{""type"":""break"",""breakCountPref"":2,""breakCount"":4}","t","32","f"
"32","7","2017-11-20","{""type"":""break"",""breakCountPref"":2,""breakCount"":4}","t","35","f"
"33","4","2017-11-20","{}","f","38","f"
"34","2","2017-11-20","{""type"":""break"",""breakCountPref"":2,""breakCount"":2}","t","39","f"
"35","4","2017-11-21","{""type"":""break"",""breakCountPref"":2,""breakCount"":2}","t","30","f"
"36","5","2017-11-21","{""type"":""break"",""breakCountPref"":2,""breakCount"":3}","t","32","f"
"37","8","2017-11-21","{""type"":""break"",""breakCountPref"":2,""breakCount"":2}","t","35","f"
"38","1","2017-11-21","{""type"":""break"",""breakCountPref"":2,""breakCount"":2}","t","42","f"
"39","1","2017-11-07","{""type"":""break"",""breakCountPref"":1,""breakCount"":2}","t","41","f"
"40","2","2017-11-08","{""type"":""break"",""breakCountPref"":1,""breakCount"":2}","t","41","f"
"41","3","2017-11-10","{""type"":""break"",""breakCountPref"":1,""breakCount"":2}","t","41","f"
"42","4","2017-11-13","{""type"":""break"",""breakCountPref"":1,""breakCount"":1}","t","41","f"
"43","5","2017-11-15","{""type"":""break"",""breakCountPref"":1,""breakCount"":3}","t","41","f"
"44","6","2017-11-16","{""type"":""break"",""breakCountPref"":1,""breakCount"":3}","t","41","f"
"45","7","2017-11-17","{""type"":""break"",""breakCountPref"":1,""breakCount"":2}","t","41","f"
"46","8","2017-11-21","{""type"":""break"",""breakCountPref"":1,""breakCount"":1}","t","41","f"
"47","1","2017-11-21","{""type"":""break"",""breakCountPref"":2,""breakCount"":2}","t","37","f"
"48","2","2017-11-22","{}","f","37","f"
"49","9","2017-11-22","{""type"":""break"",""breakCountPref"":2,""breakCount"":5}","t","35","f"
"50","9","2017-11-22","{""type"":""break"",""breakCountPref"":1,""breakCount"":3}","t","41","f"
"51","5","2017-11-22","{}","f","38","f"
"52","2","2017-11-22","{}","f","42","f"
"53","1","2017-11-23","{}","f","29","f"
"54","3","2017-11-23","{""type"":""break"",""breakCountPref"":2,""breakCount"":5}","t","37","f"
"55","10","2017-11-23","{""type"":""break"",""breakCountPref"":2,""breakCount"":3}","t","35","f"
"56","3","2017-11-21","{""type"":""break"",""breakCountPref"":2,""breakCount"":2}","t","39","f"
"57","2","2017-11-23","{}","f","31","f"
"58","10","2017-11-23","{}","f","41","f"
"59","1","2017-11-23","{""type"":""break"",""breakCountPref"":2,""breakCount"":3}","t","30","f"
"60","6","2017-11-23","{}","f","38","f"
"61","4","2017-11-24","{}","f","37","f"
"62","3","2017-11-24","{""type"":""break"",""breakCountPref"":2,""breakCount"":4}","t","31","f"
"63","11","2017-11-24","{""type"":""break"",""breakCountPref"":2,""breakCount"":2}","t","35","f"
"64","3","2017-11-23","{}","f","42","f"
"65","4","2017-11-24","{}","f","39","f"
"66","1","2017-11-24","{""type"":""break"",""breakCountPref"":2,""breakCount"":4}","t","32","f"
"67","4","2017-11-24","{}","f","37","f"
"68","2","2017-11-27","{""type"":""break"",""breakCountPref"":2,""breakCount"":3}","t","30","f"
"69","5","2017-11-27","{}","f","37","f"
"70","7","2017-11-27","{""type"":""break"",""breakCountPref"":2,""breakCount"":5}","t","38","f"
"71","4","2017-11-27","{""type"":""break"",""breakCountPref"":2,""breakCount"":3}","t","42","f"
"72","5","2017-11-27","{}","f","39","f"
"73","12","2017-11-27","{""type"":""break"",""breakCountPref"":2,""breakCount"":4}","t","35","f"
"74","11","2017-11-27","{""type"":""break"",""breakCountPref"":1,""breakCount"":2}","t","41","f"
"75","2","2017-11-24","{""type"":""break"",""breakCountPref"":2,""breakCount"":3}","t","29","f"
"76","2","2017-11-27","{""type"":""break"",""breakCountPref"":2,""breakCount"":2}","t","32","f"
"77","3","2017-11-28","{""type"":""break"",""breakCountPref"":2,""breakCount"":2}","t","30","f"
"78","1","2017-11-28","{}","f","29","f"
"79","6","2017-11-28","{""type"":""break"",""breakCountPref"":2,""breakCount"":2}","t","37","f"
"80","4","2017-11-28","{}","f","31","f"
"81","13","2017-11-28","{""type"":""break"",""breakCountPref"":2,""breakCount"":2}","t","35","f"
"82","5","2017-11-28","{""type"":""break"",""breakCountPref"":2,""breakCount"":3}","t","42","f"
"83","6","2017-11-28","{}","f","39","f"
"84","8","2017-11-28","{""type"":""break"",""breakCountPref"":2,""breakCount"":2}","t","38","f"
"85","7","2017-11-29","{}","f","37","f"
"86","9","2017-11-29","{}","f","38","f"
"87","1","2017-11-29","{""type"":""break"",""breakCountPref"":2,""breakCount"":3}","t","30","f"
"88","1","2017-11-29","{}","f","31","f"
"89","6","2017-11-29","{}","f","42","f"
"90","12","2017-11-29","{""type"":""break"",""breakCountPref"":1,""breakCount"":1}","t","41","f"
"91","3","2017-11-28","{""type"":""break"",""breakCountPref"":2,""breakCount"":3}","t","32","f"
"92","4","2017-11-29","{}","f","32","f"
"93","1","2017-11-29","{""type"":""break"",""breakCountPref"":2,""breakCount"":2}","t","29","f"
"94","7","2017-11-29","{}","f","39","f"
"95","14","2017-11-30","{""type"":""break"",""breakCountPref"":2,""breakCount"":4}","t","35","f"
