"id","appID","timestamp","start","duration","user_id","active","details","lite"
"1","1","2017-07-23 16:22:31.909+00","2017-07-23 16:16:58.756+00","60000","5","t","break , , ","f"
"2","1","2017-08-21 13:00:08.562+00","2017-08-21 13:00:00.83+00","240000","15","t","test","f"
"3","1","2017-08-29 11:18:29.111+00","2017-08-29 09:17:37.185+00","7200000","18","f","I don't know where the data for this morning is from as.i.just started tracking","f"
"4","1","2017-09-21 11:47:24.033+00","2017-09-21 11:42:07.824+00","300000","4","f","sit","f"
"5","1","2017-09-25 19:42:00.582+00","2017-09-25 19:41:40.066+00","540000","4","f","not connected. just testing empty bar","f"
"6","1","2017-09-26 21:31:01.818+00","2017-09-26 21:29:32.887+00","660000","4","f","turn off BLE to disconnect","f"
"7","1","2017-09-27 13:38:01.505+00","2017-09-27 13:05:18.46+00","1500000","4","f","meeting dom, shuld be all sitting; some misclassification","f"
"8","2","2017-09-27 13:40:45.151+00","2017-09-27 12:58:15.974+00","240000","4","f","test overide","f"
"9","3","2017-10-02 11:02:37.949+00","2017-10-02 10:37:00.461+00","60000","4","f","misclassification","f"
"10","4","2017-10-02 11:04:57.064+00","2017-10-02 10:35:20.766+00","240000","4","f","misclassification","f"
"11","1","2017-10-04 14:55:28.488+00","2017-10-04 14:54:54.344+00","0","22","f","I was active from 3.20 to 3.27","f"
"12","1","2017-10-05 10:56:11.029+00","2017-10-05 10:56:03.577+00","0","24","t","","f"
"13","2","2017-10-05 10:58:30.894+00","2017-10-05 10:58:27.032+00","0","24","t","","f"
"14","2","2017-10-06 09:44:11.541+00","2017-10-06 09:05:42.687+00","2340000","22","f","not connected ","f"
"15","3","2017-10-06 10:38:11.043+00","2017-10-06 10:28:12.808+00","540000","22","f","I was away from my desk. was active ","f"
"16","1","2017-10-06 09:55:34.385+00","2017-10-06 08:30:09.567+00","2700000","23","f","","f"
"17","2","2017-10-06 09:56:00.706+00","2017-10-06 08:30:37.449+00","1500000","23","t","I was active","f"
"18","4","2017-10-09 09:12:32.559+00","2017-10-09 09:11:55.183+00","0","22","f","the app has just recorded activity. I'd  only moved around in my chair","f"
"19","5","2017-10-09 09:13:05.182+00","2017-10-09 09:12:36.356+00","180000","22","f","left my desk for a few mins ","f"
"20","6","2017-10-09 10:40:19.61+00","2017-10-09 10:39:04.573+00","0","22","f","noticed wrist device not connected. reset settings but didn't work. charged device as not sure if fully charged when researcher gave me the new device ","f"
"21","1","2017-10-10 13:36:54.817+00","2017-10-10 13:36:47.25+00","0","24","t","","f"
"22","2","2017-10-10 13:38:41.872+00","2017-10-10 13:38:40.744+00","0","24","f","","f"
"23","1","2017-10-13 11:23:04.999+00","2017-10-13 11:18:52.738+00","240000","4","t","toilet","f"
